Country,Types of Erosion,EROSION_LEVEL,Erosion risk level,UNIT_MEASURE,Unit of measure,Time,OBS_VALUE,UNIT_MULT
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2004,12.94,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2004,13.84,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2004,6.51,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2004,33.3,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2005,29.12,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2005,6.96,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2005,11.14,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2005,11.02,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2006,11.97,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2006,14.37,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2006,5.04,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2006,31.39,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2007,33.67,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2007,5.27,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2007,14.62,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2007,13.77,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2008,11.85,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2008,15.6,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2008,6.6,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2008,34.05,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2009,37.36,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2009,10.66,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2009,12.49,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2009,14.2,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2010,16.01,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,11.83,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2010,12.45,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2010,40.3,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2011,21.28,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2011,5.16,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2011,10.88,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2011,5.24,0
Australia,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,7.1,0
Australia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2012,16.78,0
Australia,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2012,1.65,0
Australia,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2012,25.53,0
Austria,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.2,0
Belgium,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,1.5,0
Canada,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1991,0.26,0
Canada,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1991,0.0,0
Canada,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1991,87.98,0
Canada,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1991,9.41,0
Canada,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1991,2.35,0
Canada,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1996,1.85,0
Canada,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1996,6.2,0
Canada,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1996,91.72,0
Canada,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1996,0.0,0
Canada,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1996,0.24,0
Canada,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2001,0.0,0
Canada,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2001,0.0,0
Canada,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2001,94.26,0
Canada,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2001,4.64,0
Canada,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2001,1.1,0
Canada,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2006,0.78,0
Canada,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2006,2.76,0
Canada,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2006,94.46,0
Canada,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2006,0.0,0
Canada,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2006,0.0,0
Canada,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2011,0.0,0
Canada,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2011,0.0,0
Canada,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2011,96.54,0
Canada,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2011,2.87,0
