Country,Types of Land,UNIT_MEASURE,Unit of measure,Time,OBS_VALUE,UNIT_MULT,Unit multiplier,Actual area (ha)
Canada,Permanent crops,HA,Hectares,1985,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1986,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1987,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1988,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1989,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1990,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1991,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1992,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1993,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1994,0.0,3,Thousands,0.0
Canada,Permanent crops,HA,Hectares,1995,0.0,3,Thousands,0.0
Finland,Irrigation area,HA,Hectares,2003,0.0,0,Units,0.0
Finland,Irrigation area,HA,Hectares,2005,0.0,0,Units,0.0
Finland,Irrigation area,HA,Hectares,2007,0.0,0,Units,0.0
Iceland,Permanent crops,HA,Hectares,1985,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1986,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1987,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1988,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1989,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1990,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1991,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1992,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1993,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1994,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1995,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1996,0.0,3,Thousands,0.0
Iceland,Permanent crops,HA,Hectares,1997,0.0,3,Thousands,0.0
